Junction,vtype,07:00,07:15,07:30,07:45,hour1,08:00,08:15,08:30,08:45,hour2,09:00,09:15,09:30,09:45,hour3,3hour1,10:00,10:15,10:30,10:45,hour4,11:00,11:15,11:30,11:45,hour5,12:00,12:15,12:30,12:45,hour6,3hour2,13:00,13:15,13:30,13:45,hour7,14:00,14:15,14:30,14:45,hour8,15:00,15:15,15:30,15:45,hour9,3hour3,16:00,16:15,16:30,16:45,hour10,17:00,17:15,17:30,17:45,hour11,18:00,18:15,18:30,18:45,hour12,3hour4,Total,Date
49AE,pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,3,5,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,1,3,0,2,6,1,1,0,3,5,15,23,14/05/2013
49AE,vtotal,2,4,6,6,18,10,6,6,13,35,11,10,8,4,33,86,14,8,7,11,40,13,11,8,11,43,5,15,14,18,52,135,16,13,7,5,41,10,6,9,8,33,8,6,8,9,31,105,10,15,9,21,55,11,13,14,15,53,14,20,19,16,69,177,503,14/05/2013
49AE,ptotal,2,5.3,6,6,19.3,10,6,6,13,35,11,10,8,4,33,87.3,14,8,7,11,40,12.7,11,8,11,42.7,5,13.4,14,15.6,48,130.7,17,13,6.2,5,41.2,10,6,9,8,33,8,6,8,8.4,30.4,104.6,10,14.4,7.4,18.8,50.6,10.2,10.6,14,13.4,48.2,13.2,19.2,19,13.6,65,163.8,486.4,14/05/2013
49AD,car,0,0,3,1,4,1,8,1,3,13,1,0,2,3,6,23,2,0,3,1,6,5,6,3,5,19,4,5,2,3,14,39,4,3,1,5,13,2,2,0,1,5,4,1,0,2,7,25,3,7,7,5,22,2,2,1,2,7,6,2,3,5,16,45,132,14/05/2013
49AD,lgv,0,1,1,0,2,0,2,0,1,3,0,0,1,0,1,6,1,1,1,0,3,0,1,0,0,1,2,1,0,0,3,7,0,1,1,0,2,2,1,0,0,3,0,0,0,0,0,5,0,1,0,2,3,0,1,0,0,1,2,0,1,0,3,7,25,14/05/2013
49AD,hgv 2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14/05/2013
49AD,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AD,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AD,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AD,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
