"","TIME","AUT","BEL","CZE","DEU","DNK","ESP","EST","EU27","FRA","GBR","GRC","HUN","IRL","ITA","LTU","LUX","LVA","NLD","POL","PRT","SVK","SVN","SWE"
"803","2013-11",-6.85202277263888,-1.11788375845464,2.58490475820114,1.14471826200602,3.22353693636073,-0.920061626468848,-1.86297673951175,-0.978679745042407,-1.83257306196817,3.77824902927147,16.5851177814251,-3.18992625370697,-7.6149879577254,0.416574126921408,16.153070936911,-1.08685825654855,-10.8571857852358,27.0562984641187,-4.22363450730735,-0.773147831546717,-2.45069334053627,-3.07963423339929,2.04940705442807
"804","2013-12",7.0407764173327,4.89060502458421,2.73768005616943,-2.75810180110944,-5.24196046843051,0.598833947720773,-8.33766005030249,0.387281451823176,7.36088228371608,2.75125954473196,-6.12764993156487,4.88002916913985,0.572797844392366,1.47753070721486,-8.95150077912614,-2.87775493187522,-4.93550810666131,55.3453761169365,0.00841163231821118,-0.0956301880276962,10.2593639489162,-7.57990321184626,1.75971308082288
"805","2014-01",-3.57759194060688,-0.35237905218517,-0.983429242498118,-0.115790850966727,4.78650362911135,-2.77868493594658,-0.00982761578870164,-3.40188004772487,-12.2072520685746,-2.22242138048676,2.67515353367186,3.44087993287841,2.7493253602796,-2.77446034192588,1.98352393157391,-1.52261596259223,9.31004286200923,-60.6872045727199,5.59474712248094,3.03716154671362,1.21685028798206,7.78611078996557,1.09024659728168
"806","2014-02",24.3920331695299,2.83629027644114,-0.306073770508305,0.986388790940973,4.25585023400936,9.34641981469249,14.9218316734495,4.31958013854406,4.24223398638718,-3.59739963307752,-2.58567747213214,5.38825203521748,6.08055133007446,3.49745360275522,10.1361967123616,5.19317816102098,1.5625930133443,30.8639718755694,24.5042782224602,3.94933338813087,-4.04952251691943,2.39809363998603,2.47131330271291
"807","2014-03",-26.3904206859753,-0.941371034401006,2.97272067226315,0.336926019787618,-1.9572634225175,-3.65572634154587,-3.53995086335102,-1.62659317458744,3.38106058532045,7.94012508523301,9.54885672802067,5.18798281618416,-1.23001716349366,0.961445333410109,-3.40669607466157,-1.20877604060881,0.198532443819951,-14.6170672299537,-3.0644676357843,4.07371115300021,-5.57585640666102,3.51321575771699,1.57843033263013
"808","2014-04",4.62664688604523,1.90560819139174,3.47979058619569,-0.385345560174465,-1.52014652014653,19.0977670695127,2.17984040990699,3.35191565776932,0.871908267570573,1.25308839471831,-20.9862117493536,-9.22758850285603,12.8632497656418,-1.87824270809988,-1.24819703799512,-0.073803885036219,2.73901847867852,8.43562273169074,-13.0817198138316,2.61447808731087,-1.3444022636313,2.58270489854639,-2.84702836399936
"809","2014-05",-1.85692929574699,-3.74124704453062,-5.16744812610215,4.54673463195518,-4.50685016427996,-9.39201485287845,-0.820782906743451,-1.45854280001925,-3.47455124208316,-0.288352904307658,21.6806036697516,4.89486325196317,-6.06927544252934,-0.27422991163248,-0.396986860446665,10.7086233105419,1.67782326931413,3.77901339115363,-5.60069918193991,-1.1607523743201,2.58706314549399,-5.29433027793195,-0.579881713248959
"810","2014-06",-1.12401890685811,-5.99669922980792,8.77200068305679,-7.56022791665656,-3.00571280186964,1.9644589031466,2.43677401210763,-2.05916466588139,2.53007051016176,-2.55745556312167,5.23924997225749,-0.12735181224109,-32.6144370618589,3.90878765135639,-4.07278989434978,-12.4833579549855,-4.3743545348697,-10.7498993818396,-2.25589790156288,2.66730392811932,5.1003736434167,-5.08958437505247,3.58805148808669
"811","2014-07",-0.73829054460982,4.75439696447569,13.3107530548955,6.48009522296622,-1.00394886553778,-2.845803985083,2.10658916723127,3.14109029928761,-2.57705979097034,2.60948972235014,-3.61725003938953,2.19600957368396,59.6700108887219,0.812576664900939,16.7487912252547,7.20799089828356,10.1719312447019,4.87178382249306,3.69562853721171,9.34790376767516,-1.28814933301708,13.3479114197399,-1.8439923418419
"812","2014-08",-0.109923121762402,-2.94948628157232,-13.7632306590102,0.330821960991953,7.45047664120073,2.78651112893753,4.31619247877214,0.189267451046153,0.0850884238901048,-0.146534461825451,-9.49811428729206,3.44408237036434,4.66583247345326,0.408515638512248,-12.1499189639532,4.59773029935229,-4.22958910825578,0.921334111725856,1.07806022845136,-3.16260783930884,-0.0546155656511668,-2.49731241799627,4.59040770650398
"813","2014-09",2.27607427045766,2.19870761196804,5.32110269871108,-2.00917676566444,-7.1666771534638,1.08160501076193,-0.708550262194756,-0.883249146468967,1.00591031823221,-0.770205216428867,16.170651326022,-2.72865543597819,-0.332446473144105,-4.09166318913146,4.64047742410415,-4.61489500048039,-2.45244863243743,-4.2626145913509,-1.18500816258537,-1.43844552027012,-4.27101349968236,6.16871904480504,-5.24873393196599
"814","2014-10",11.9537237743335,-3.69445103456193,-1.26456093330347,3.91222358284915,7.46916090551715,11.9863757712274,6.31069950928338,5.04870595474886,2.27055417143626,5.72002439099994,2.4564146746141,4.57629840001919,-4.1438808630214,8.17331545332724,-8.21042750757525,-2.52166749475868,7.14925746097322,9.70090449709048,8.40614158198428,7.96639318323985,11.5606707637647,3.1377628063865,2.318908319279
"815","2014-11",-14.1871238015468,-0.376659707991928,3.12742376002474,-1.14281373066811,0.971241170534816,-5.8770550281401,11.5781609545461,-2.72001633788568,-1.47417073780962,-0.0188318867945157,-11.7971991193162,-0.33511313276975,2.70590394941802,-0.715057138021465,16.1841911674273,1.77908616529962,1.95250435400405,5.91329594403767,-7.63130605991011,4.52318210664426,-10.3368874982293,-0.642941219120609,1.33173970094552
"816","2014-12",-6.45848566510454,7.47429827775674,-2.48476022308664,-2.27048809361615,1.26171143035603,-1.97863012297767,-34.8026772726498,-3.1999999831018,-1.43341151941621,-2.07752625913534,40.2315805898575,-0.365295606860156,15.1204773150089,-5.22385264803088,-7.94628555370938,28.3361722216823,-2.72929016885508,76.5457520133523,1.90762855893722,-2.23397011581568,-2.1773660428952,2.33228174193449,-2.46319733716136
"817","2015-01",14.5027493499241,0.302465963676008,6.47449268787313,3.20826919980274,3.48507278559091,8.15788397333,16.3290647156992,6.16256954654811,5.63465267325659,1.21326209337634,-27.5696883269545,3.43694905457512,-8.94412634583096,9.25054683513389,18.9068777140862,-28.8412648158704,9.68243154216998,-49.4303738963546,4.27176672199687,2.8765233169499,-1.77030210892952,-2.19204575852697,6.65265305608013
"818","2015-02",-4.59323263184464,-1.75770251233773,6.07719333155932,1.16885378950235,-8.26727066817667,5.0543442499509,-9.73504017048564,0.924599259718663,-1.32983332156679,-0.836438999094211,11.2868396194956,7.87593579742956,6.52419984552246,0.64066724133902,-10.1780111643353,0.330636329431399,-22.8615371460814,12.5739170680796,1.99705239512678,3.29418978943822,6.20790500664281,1.49801030699636,2.10471696946405
"819","2015-03",3.6320638201184,3.30978659700142,-0.449995164241885,-0.226705661864445,10.8057179987005,5.75361769882119,25.8928243698195,0.990175144745667,0.898937796366524,1.31118636090444,1.06575540521583,-12.5297923278949,7.48573026006755,1.03108610976817,1.18271894676332,5.83500563369976,29.0699425247886,-17.9281830941949,0.431930769942602,3.14585744747797,4.792655382314,3.56675884598985,-0.543812128192778
"820","2015-04",0.798876346762113,-1.95766404527163,-0.400378438504036,-0.00073519576151813,1.1845423092711,-11.6030563108857,-10.2058445615466,1.11736912417802,0.970222861158205,-0.521738247862436,4.09572781123478,11.2615804122062,-4.40123070520029,9.94959439305269,10.4178540532911,-2.20597922781862,-2.19092049489325,7.65977656856934,-3.01968985403191,-1.18650049038188,0.660272859977117,-3.56754681006666,0.482024342670666
"821","2015-05",-3.47198805678516,-1.83894079293606,-0.944523257294716,-3.94580304531399,-8.24688496088091,3.69280336979415,-7.29389160412216,-3.88081206274212,-6.449203187251,1.43102570796775,4.42865620366918,-8.36317567191008,2.16493278321676,-9.21988273767982,-4.7368988785435,-4.19367476959022,-2.22944299252133,0.759959289767187,7.20972912274325,5.16428950828591,2.00466569048375,1.9216278749778,-0.897134146643166
"822","2015-06",3.46638685321115,3.41737782550926,-1.41916701589714,3.97018119513936,7.97119757453259,3.26764761394535,14.8283383496158,4.78296280344826,8.23420213891336,1.66096704957165,-6.70986505764667,6.42348787385651,-33.4553024299366,2.40356481532315,1.96143505551628,2.66017610792709,-7.14284055521804,3.46825254536178,-2.13003434103004,-0.0633778764397027,-0.764819587649515,-8.46694694448851,0.354530008067475
"823","2015-07",5.0341671328748,-1.1539601380999,22.742314072071,3.85560368840296,2.25810225810226,2.09723447253038,-1.30130849221765,2.26633179467262,1.17537266375765,-2.62090677266951,-34.2777522081722,4.60863756954502,70.8906633512081,4.14146155475344,3.18421623454991,4.54934727551116,9.25181204757018,8.66299051777128,3.8063015939904,-4.74709179369451,3.14475527817382,12.9067262174513,5.05602845838705
"824","2015-08",-2.18902266388918,2.55738451949053,-7.03441369815143,0.207635489163063,6.81922196796338,1.8098672212784,-0.121983116284392,1.00652067965144,-1.83419340363472,4.40532206694148,56.2485952521249,-6.22264146820773,1.58195594055241,-3.25050824334093,1.4785715030295,-4.79256545937655,-3.12525265506527,6.0026663064172,1.67041437099439,4.79573270532693,20.2412615062629,4.46169021284227,-0.0857950009896875
"825","2015-09",-1.21308756488364,-4.94493866551916,-7.29140581151916,-3.34140588268552,-3.73821765209938,0.0173393912501953,5.49562518031807,-1.94557507815431,2.84999587325169,-0.747551561400801,-5.19913996347537,5.51284067812728,1.94911104060995,1.3250456599152,0.113941032115386,1.66275350280835,12.0479613545148,-4.28415021565343,-1.48984933060902,3.49773486991158,-18.1620597778193,-5.66988657951286,-1.05539553113243
"826","2015-10",1.3868101966379,4.53499548079984,-0.54240906954918,4.52097857610793,-4.01134972738401,0.944993690402731,2.97810447914308,2.62423130664875,-1.48643810417413,-0.840446763503492,-11.6280493560394,26.89400206044,-2.71494620952882,3.82082096121819,3.71246575922332,5.63388646198779,-0.557237033087659,8.40812433281225,-1.65511481895881,0.00456073757455255,-3.06822229408595,4.69789662840738,5.12577740111492
"827","2015-11",-1.18170056115745,6.23051891412851,6.28039396373382,-1.86070333846517,4.75279661508144,2.82042325267448,-10.4793066753993,1.30285297203647,-1.95814274077323,0.65640418572639,16.2691037255893,-23.3609710158639,-0.144169214173983,6.31317037527242,1.85643108998964,-6.32198108116525,-2.05387815240165,9.6429300308612,6.05318054677828,-3.86408703094255,12.2808146829691,2.15983439639304,0.749486642099556
"828","2015-12",11.565389914379,10.0654888310758,-2.16579690385919,-0.131252301529068,1.99192165108172,-1.92604624924181,13.511047597059,1.72082734336539,2.12315853385742,2.44152896300927,30.1693515872798,9.36467493197157,-15.2908959858446,-5.76601628467372,-6.7885710667884,-1.31867757518586,-2.6143706648042,124.262341749726,6.93566533607448,-4.23784898208197,-5.24380090745095,-2.89513554580653,-2.45022393587696
"829","2016-01",-9.52399792818637,-16.8476028052583,2.6136366812475,2.28074937979622,-6.28763630445397,3.17590922815065,-7.23368204140911,-1.27515864932684,4.13800872411396,-1.6060295464707,-29.2562080230002,6.00469685205388,24.5745258051986,9.05321918657904,14.66553144773,11.4615231230558,-2.66214708735321,-73.7186713467158,-6.85245735114386,16.5983721883673,5.98218485803817,5.38895191189925,1.63636575791797
"830","2016-02",1.06497736973186,5.25140348948412,2.08019524294896,1.20599494914254,8.09887692485816,-1.0581528888989,2.14491834393018,0.547091386821683,-0.688105096785436,-2.01690132413622,-30.7458374185006,-3.30720009510156,3.62968240323568,0.0857683387153934,-2.08526174046734,1.29279794885817,15.5275886495815,19.7416756246277,3.33601149862343,-0.280107624799193,0.693717134475872,-7.91050197435676,-1.43618214216704
"831","2016-03",-1.55880444057739,-0.873675978800584,-2.62683294953444,-4.82294636570981,-10.5714132704975,-0.675382933485533,-2.11672309506686,-0.067542527035575,-1.1491401115858,0.81903728194777,42.1727509070848,-5.30219124431917,-5.17903958835308,-4.36086246005629,-0.810194642214533,-6.37063402798783,6.83234282757855,-2.16270618412056,-0.201303495225468,8.56577389722572,-1.86824832769154,3.17545491695691,-0.514182752977776
