"","LOCATION","FREQUENCY","TIME","Value"
"10626","IRL","M","1981-05",-3.520501563
"10627","IRL","M","1981-06",-2.896850768
"10628","IRL","M","1981-07",5.461994876
"10629","IRL","M","1981-08",135.2419816
"10630","IRL","M","1981-09",-63.5220005
"10631","IRL","M","1981-10",-40.40854226
"10632","IRL","M","1981-11",16.63706603
"10633","IRL","M","1981-12",4.420622563
"10634","IRL","M","1982-01",17.85354226
"10635","IRL","M","1982-02",-5.937260589
"10636","IRL","M","1982-03",27.6422854
"10637","IRL","M","1982-04",4.579143296
"10638","IRL","M","1982-05",-31.7138315
"10639","IRL","M","1982-06",-16.96803868
"10640","IRL","M","1982-07",-4.866664393
"10641","IRL","M","1982-08",27.30057665
"10642","IRL","M","1982-09",12.84375575
"10643","IRL","M","1982-10",35.82608611
"10644","IRL","M","1982-11",-34.70554843
"10645","IRL","M","1982-12",-15.62510798
"10646","IRL","M","1983-01",27.67713434
"10647","IRL","M","1983-02",44.10186772
"10648","IRL","M","1983-03",-20.67090689
"10649","IRL","M","1983-04",-61.44658155
"10650","IRL","M","1983-05",35.66180094
"10651","IRL","M","1983-06",12.4221037
"10652","IRL","M","1983-07",16.76329892
"10653","IRL","M","1983-08",-0.334149189
"10654","IRL","M","1983-09",-4.851152474
"10655","IRL","M","1983-10",4.513100422
"10656","IRL","M","1983-11",4.238010523
"10657","IRL","M","1983-12",7.189910261
"10658","IRL","M","1984-01",-7.217445758
"10659","IRL","M","1984-02",6.93529704
"10660","IRL","M","1984-03",-24.81861163
"10661","IRL","M","1984-04",23.579112
"10662","IRL","M","1984-05",4.653945582
"10663","IRL","M","1984-06",-2.030659708
"10664","IRL","M","1984-07",-10.28006324
"10665","IRL","M","1984-08",8.308489473
"10666","IRL","M","1984-09",-10.11301845
"10667","IRL","M","1984-10",1.661619343
"10668","IRL","M","1984-11",6.558635508
"10669","IRL","M","1984-12",-11.26601456
"10670","IRL","M","1985-01",11.25360504
"10671","IRL","M","1985-02",3.220000397
"10672","IRL","M","1985-03",24.0448204
"10673","IRL","M","1985-04",-16.01566825
"10674","IRL","M","1985-05",0.03719779
"10675","IRL","M","1985-06",7.370420814
"10676","IRL","M","1985-07",-5.707706588
"10677","IRL","M","1985-08",-4.1916172
"10678","IRL","M","1985-09",7.189256989
"10679","IRL","M","1985-10",-3.429079258
"10680","IRL","M","1985-11",8.721507421
"10681","IRL","M","1985-12",-28.00158062
"10682","IRL","M","1986-01",28.57439215
"10683","IRL","M","1986-02",-0.849008418
"10684","IRL","M","1986-03",-4.564836409
"10685","IRL","M","1986-04",8.284554415
"10686","IRL","M","1986-05",-5.827308444
"10687","IRL","M","1986-06",-10.75627894
"10688","IRL","M","1986-07",16.90702758
"10689","IRL","M","1986-08",3.273891335
"10690","IRL","M","1986-09",3.875839691
"10691","IRL","M","1986-10",-3.443933764
"10692","IRL","M","1986-11",-9.146266736
"10693","IRL","M","1986-12",17.2065058
"10694","IRL","M","1987-01",-14.94705276
"10695","IRL","M","1987-02",-6.586823063
"10696","IRL","M","1987-03",2.361100716
"10697","IRL","M","1987-04",1.461570991
"10698","IRL","M","1987-05",-2.403481967
"10699","IRL","M","1987-06",1.826805029
"10700","IRL","M","1987-07",3.187024111
"10701","IRL","M","1987-08",-6.474264799
"10702","IRL","M","1987-09",4.034595831
"10703","IRL","M","1987-10",11.18931347
"10704","IRL","M","1987-11",-6.982089748
"10705","IRL","M","1987-12",-0.151024783
"10706","IRL","M","1988-01",3.596590178
"10707","IRL","M","1988-02",-4.804843974
"10708","IRL","M","1988-03",29.03427804
"10709","IRL","M","1988-04",-27.23187321
"10710","IRL","M","1988-05",26.29730549
"10711","IRL","M","1988-06",-6.642960034
"10712","IRL","M","1988-07",1.961774165
"10713","IRL","M","1988-08",4.52931036
"10714","IRL","M","1988-09",1.236784989
"10715","IRL","M","1988-10",-1.891344243
"10716","IRL","M","1988-11",7.205766615
"10717","IRL","M","1988-12",0.73332037
"10718","IRL","M","1989-01",9.859473176
"10719","IRL","M","1989-02",4.568076046
