,TIME,AUT,AUT2,BEL,BEL2,CZE,CZE2,DEU,DEU2,DNK,DNK2,ESP,ESP2,EST,EST2,EU27,EU272,FRA,FRA2,GBR,GBR2,GRC,GRC2,HUN,HUN2,IRL,IRL2,ITA,ITA2,LTU,LTU2,LUX,LUX2,LVA,LVA2,NLD,NLD2,POL,POL2,PRT,PRT2,SVK,SVK2,SVN,SVN2,SWE,SWE2
149,1959-05,4.032957937,138.9936719,7.990398269,188.9184398,0,100,-1.07213997,208.4041135,-1.819469966,138.1445992,0,100,0,100,0,100,-1.650943396,72.27036395,-18.17697228,180.0234558,0,100,0,100,3.562784283,583.8175263,-8.048767497,190.999103,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
150,1959-06,4.818177612,145.6906339,2.171620947,193.0210322,0,100,5.668265052,220.217011,-14.7135488,117.8186262,0,100,0,100,0,100,1.438848921,73.3102253,8.88165038,196.0125098,0,100,0,100,-0.021125376,583.6941926,20.44498663,230.0488441,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
151,1959-07,0.256013657,146.0636218,-7.247315097,179.0321898,0,100,1.626361136,223.7985349,10.94486693,130.713718,0,100,0,100,0,100,10.40189125,80.93587522,-2.034303949,192.0250195,0,100,0,100,17.56964313,686.2471792,-21.99178974,179.456986,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
152,1959-08,-6.368049848,136.7622175,-1.75449285,175.8910828,0,100,-13.12146323,194.4328924,2.361573078,133.800618,0,100,0,100,0,100,-6.423982869,75.73656846,-20.82654723,152.0328382,0,100,0,100,-11.42830322,607.8207707,45.16103299,260.5016146,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
153,1959-09,-0.227340967,136.451301,3.214654811,181.545374,0,100,20.41316517,234.1227999,15.17385205,154.1033258,0,100,0,100,0,100,-6.636155606,70.71057192,47.33864747,224.0031274,0,100,0,100,-16.76969336,505.8910912,-32.36560975,176.1886787,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
154,1959-10,10.40983213,150.6556524,18.80995348,215.6939743,0,100,14.75785235,268.674297,1.230144198,155.9990189,0,100,0,100,0,100,23.52941176,87.34835355,16.07329843,260.0078186,0,100,0,100,25.68922812,635.8506077,37.67827731,242.5735376,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
155,1959-11,-12.17193891,132.3179384,-12.74801765,188.1972684,0,100,-4.49304062,256.6026517,7.947962604,168.3977626,0,100,0,100,0,100,-7.936507937,80.41594454,4.615847241,272.0093823,0,100,0,100,5.171207083,668.7317594,6.249602184,257.7334187,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
156,1959-12,11.46318256,147.4857852,4.768735902,197.1718991,0,100,1.485216722,260.4137572,-6.880116154,156.8118009,0,100,0,100,0,100,6.25,85.44194107,17.64874964,320.0156372,0,100,0,100,6.426902077,711.7104947,3.038413666,265.5644261,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
157,1960-01,0.603321838,148.3755992,-2.862179085,191.5284863,0,100,-1.700741257,255.984793,2.829199936,161.2483203,0,100,0,100,0,100,7.707910751,92.02772964,-6.242365013,300.039093,0,100,0,100,1.77945845,724.3750873,-9.679565653,239.8589431,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
158,1960-02,2.327367973,151.8288454,26.60254575,242.4799395,0,100,-2.100044457,250.6089986,-15.46119727,136.3173994,17.68944893,117.6894489,0,100,0,100,-9.416195857,83.36221837,-12,264.0344019,0,100,0,100,-13.74048163,624.8424614,4.562356547,250.8021633,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
